,Family,Father,Mother,Gender,Height,Kids
0,1,78.5,67.0,M,73.2,4
1,1,78.5,67.0,F,69.2,4
2,1,78.5,67.0,F,69.0,4
3,1,78.5,67.0,F,69.0,4
4,2,75.5,66.5,M,73.5,4
5,2,75.5,66.5,M,72.5,4
6,2,75.5,66.5,F,65.5,4
7,2,75.5,66.5,F,65.5,4
8,3,75.0,64.0,M,71.0,2
9,3,75.0,64.0,F,68.0,2
10,4,75.0,64.0,M,70.5,5
11,4,75.0,64.0,M,68.5,5
12,4,75.0,64.0,F,67.0,5
13,4,75.0,64.0,F,64.5,5
14,4,75.0,64.0,F,63.0,5
15,5,75.0,58.5,M,72.0,6
16,5,75.0,58.5,M,69.0,6
17,5,75.0,58.5,M,68.0,6
18,5,75.0,58.5,F,66.5,6
19,5,75.0,58.5,F,62.5,6
20,5,75.0,58.5,F,62.5,6
21,6,74.0,68.0,F,69.5,1
22,7,74.0,68.0,M,76.5,6
23,7,74.0,68.0,M,74.0,6
24,7,74.0,68.0,M,73.0,6
25,7,74.0,68.0,M,73.0,6
26,7,74.0,68.0,F,70.5,6
27,7,74.0,68.0,F,64.0,6
28,8,74.0,66.5,F,70.5,3
29,8,74.0,66.5,F,68.0,3
30,8,74.0,66.5,F,66.0,3
31,9,74.5,66.0,F,66.0,1
32,10,74.0,65.5,F,65.5,1
33,11,74.0,62.0,M,74.0,8
34,11,74.0,62.0,M,70.0,8
35,11,74.0,62.0,F,68.0,8
36,11,74.0,62.0,F,67.0,8
37,11,74.0,62.0,F,67.0,8
38,11,74.0,62.0,F,66.0,8
39,11,74.0,62.0,F,63.5,8
40,11,74.0,62.0,F,63.0,8
41,12,74.0,61.0,F,65.0,1
42,14,73.0,67.0,M,68.0,2
43,14,73.0,67.0,M,67.0,2
44,15,73.0,66.5,M,71.0,3
45,15,73.0,66.5,M,70.5,3
46,15,73.0,66.5,F,66.7,3
47,16,73.0,65.0,M,72.0,9
48,16,73.0,65.0,M,70.5,9
49,16,73.0,65.0,M,70.2,9
50,16,73.0,65.0,M,70.2,9
51,16,73.0,65.0,M,69.2,9
52,16,73.0,65.0,F,68.7,9
53,16,73.0,65.0,F,66.5,9
54,16,73.0,65.0,F,64.5,9
55,16,73.0,65.0,F,63.5,9
56,17,73.0,64.5,M,74.0,6
57,17,73.0,64.5,M,73.0,6
58,17,73.0,64.5,M,71.5,6
59,17,73.0,64.5,M,62.5,6
60,17,73.0,64.5,F,66.5,6
61,17,73.0,64.5,F,62.3,6
62,18,73.0,64.0,F,66.0,3
63,18,73.0,64.0,F,64.5,3
64,18,73.0,64.0,F,64.0,3
65,19,73.2,63.0,F,62.7,1
66,20,72.7,69.0,M,73.2,8
67,20,72.7,69.0,M,73.0,8
68,20,72.7,69.0,M,72.7,8
69,20,72.7,69.0,F,70.0,8
70,20,72.7,69.0,F,69.0,8
71,20,72.7,69.0,F,68.5,8
72,20,72.7,69.0,F,68.0,8
73,20,72.7,69.0,F,66.0,8
74,21,72.0,68.0,M,73.0,3
75,21,72.0,68.0,F,68.5,3
76,21,72.0,68.0,F,68.0,3
77,22,72.0,67.0,M,73.0,3
78,22,72.0,67.0,M,71.0,3
79,22,72.0,67.0,F,67.0,3
80,23,72.0,65.0,M,74.2,7
81,23,72.0,65.0,M,70.5,7
82,23,72.0,65.0,M,69.5,7
83,23,72.0,65.0,F,66.0,7
84,23,72.0,65.0,F,65.5,7
85,23,72.0,65.0,F,65.0,7
86,23,72.0,65.0,F,65.0,7
87,24,72.0,65.5,F,65.5,1
88,25,72.0,64.0,F,66.0,2
89,25,72.0,64.0,F,63.0,2
90,26,72.0,63.0,M,70.5,5
91,26,72.0,63.0,M,70.5,5
92,26,72.0,63.0,M,69.0,5
93,26,72.0,63.0,F,65.0,5
94,26,72.0,63.0,F,63.0,5
95,27,72.0,63.0,M,69.0,3
96,27,72.0,63.0,M,67.0,3
97,27,72.0,63.0,F,63.0,3
98,28,72.0,63.0,M,73.0,6
99,28,72.0,63.0,M,67.0,6
100,28,72.0,63.0,F,70.5,6
101,28,72.0,63.0,F,70.0,6
102,28,72.0,63.0,F,66.5,6
103,28,72.0,63.0,F,63.0,6
104,29,72.5,63.5,F,67.5,3
105,29,72.5,63.5,F,67.2,3
106,29,72.5,63.5,F,66.7,3
107,30,72.0,62.0,F,64.0,1
108,31,72.5,62.0,M,71.0,6
109,31,72.5,62.0,M,70.0,6
110,31,72.5,62.0,M,70.0,6
111,31,72.5,62.0,F,66.0,6
112,31,72.5,62.0,F,65.0,6
113,31,72.5,62.0,F,65.0,6
114,32,72.0,62.0,M,74.0,5
115,32,72.0,62.0,M,72.0,5
116,32,72.0,62.0,M,69.0,5
117,32,72.0,62.0,F,67.5,5
118,32,72.0,62.0,F,63.5,5
119,33,72.0,62.0,M,72.0,5
120,33,72.0,62.0,M,71.5,5
121,33,72.0,62.0,M,71.5,5
122,33,72.0,62.0,M,70.0,5
123,33,72.0,62.0,F,68.0,5
124,34,72.0,61.0,F,65.7,1
125,35,71.0,69.0,M,78.0,5
126,35,71.0,69.0,M,74.0,5
127,35,71.0,69.0,M,73.0,5
128,35,71.0,69.0,M,72.0,5
129,35,71.0,69.0,F,67.0,5
130,36,71.0,67.0,M,73.2,4
131,36,71.0,67.0,M,73.0,4
132,36,71.0,67.0,M,69.0,4
133,36,71.0,67.0,F,67.0,4
134,37,71.0,66.0,M,70.0,4
135,37,71.0,66.0,F,67.0,4
136,37,71.0,66.0,F,67.0,4
137,37,71.0,66.0,F,66.5,4
138,38,71.0,66.0,M,70.0,6
139,38,71.0,66.0,M,69.0,6
140,38,71.0,66.0,M,68.5,6
141,38,71.0,66.0,F,66.0,6
142,38,71.0,66.0,F,64.5,6
143,38,71.0,66.0,F,63.0,6
144,39,71.0,66.0,M,71.0,2
145,39,71.0,66.0,F,67.0,2
146,40,71.0,66.0,M,76.0,5
147,40,71.0,66.0,M,72.0,5
148,40,71.0,66.0,M,71.0,5
149,40,71.0,66.0,M,66.0,5
150,40,71.0,66.0,F,66.0,5
151,41,71.7,65.5,M,70.5,1
152,42,71.0,65.5,M,72.0,6
153,42,71.0,65.5,M,72.0,6
154,42,71.0,65.5,M,71.0,6
155,42,71.0,65.5,M,69.0,6
156,42,71.0,65.5,F,66.0,6
157,42,71.0,65.5,F,65.0,6
158,43,71.5,65.5,M,73.0,2
159,43,71.5,65.5,F,65.2,2
160,44,71.5,65.0,M,68.5,2
161,44,71.5,65.0,M,67.7,2
162,45,71.0,65.0,M,68.0,3
163,45,71.0,65.0,M,68.0,3
164,45,71.0,65.0,F,62.0,3
165,46,71.0,64.0,F,68.0,8
166,46,71.0,64.0,F,68.0,8
167,46,71.0,64.0,F,67.5,8
168,46,71.0,64.0,F,66.5,8
169,46,71.0,64.0,F,66.5,8
170,46,71.0,64.0,F,66.0,8
171,46,71.0,64.0,F,65.5,8
172,46,71.0,64.0,F,65.0,8
173,47,71.7,64.5,M,72.0,4
